KODS,TIPS_CD,NOSAUKUMS,VKUR_CD,VKUR_TIPS,APSTIPR,APST_PAK,STATUSS,SORT_NOS,DAT_SAK,DAT_MOD,DAT_BEIG,ATRIB,STD
"100476973","107","Sila iela","100112204","106","Y","252","EKS","Sila iela","2012.06.28","2012.07.12","","","Sila iela, Likverteni, Vecsaules pag., Bauskas nov."
"100458030","107","Sila iela","100145451","106","Y","252","EKS","Sila iela","2007.02.21","2021.06.30","","","Sila iela, Ječi, Dunikas pag., Dienvidkurzemes nov."
"100356077","107","Sila iela","100003776","104","Y","254","EKS","Sila iela","1999.03.16","2021.07.01","","","Sila iela, Jēkabpils, Jēkabpils nov."
"100358570","107","Sila iela","100003261","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Krāslava, Krāslavas nov."
"100376162","107","Sila iela","100003487","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Ikšķile, Ogres nov."
"100388923","107","Sila iela","100184661","106","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Langstiņi, Garkalnes pag., Ropažu nov."
"100321478","107","Sila iela","100003028","104","Y","252","EKS","Sila iela","2000.06.20","2021.06.30","","","Sila iela, Jelgava"
"100413252","107","Sila iela","100184428","106","Y","252","EKS","Sila iela","1999.07.15","2021.06.30","","","Sila iela, Babīte, Babītes pag., Mārupes nov."
"100368106","107","Sila iela","100003390","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Staicele, Limbažu nov."
"100370658","107","Sila iela","100003438","104","Y","253","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Madona, Madonas nov."
"100367668","107","Sila iela","100003382","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Salacgrīva, Limbažu nov."
"100391954","107","Sila iela","100185897","106","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Spuņciems, Salas pag., Mārupes nov."
"100363660","107","Sila iela","100003333","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Pāvilosta, Dienvidkurzemes nov."
"100369903","107","Sila iela","100003421","104","Y","254","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Zilupe, Ludzas nov."
"100335166","107","Sila iela","100003060","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Ventspils"
"100311483","107","Sila iela","100003003","104","Y","252","EKS","Sila iela","1999.03.16","2025.05.15","","","Sila iela, Rīga"
"100398122","107","Sila iela","100188845","106","Y","253","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Roja, Rojas pag., Talsu nov."
"100352326","107","Sila iela","100127080","106","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Stāmeriena, Stāmerienas pag., Gulbenes nov."
"100426252","107","Sila iela","100003606","104","Y","252","EKS","Sila iela","2001.11.19","2021.06.30","","","Sila iela, Vangaži, Ropažu nov."
"100426277","107","Sila iela","100003542","104","Y","252","EKS","Sila iela","2001.11.21","2021.06.30","","","Sila iela, Baldone, Ķekavas nov."
"100405647","107","Sila iela","100003807","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Valmiera, Valmieras nov."
"100415207","107","Sila iela","100003784","104","Y","252","EKS","Sila iela","2000.11.13","2021.06.30","","","Sila iela, Iecava, Bauskas nov."
"100330993","107","Sila iela","100003044","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Liepāja"
"100423528","107","Sila iela","100003671","104","Y","252","EKS","Sila iela","2001.05.24","2009.06.30","","","Sila iela, Tukums, Tukuma nov."
"100349674","107","Sila iela","100003198","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Dobele, Dobeles nov."
"100484441","107","Silabriežu iela","100183803","106","Y","252","EKS","Silabriežu iela","2007.10.17","2016.03.09","","","Silabriežu iela, Silabrieži, Salaspils pag., Salaspils nov."
"100379176","107","Siladieviņu iela","100003526","104","Y","252","EKS","Siladieviņu iela","2003.04.28","2021.06.30","","","Siladieviņu iela, Līvāni, Līvānu nov."
"100371073","107","Silaines iela","100003446","104","Y","252","EKS","Silaines iela","1999.03.16","2021.06.30","","","Silaines iela, Cesvaine, Madonas nov."
"100366344","107","Silaines iela","100003358","104","Y","252","EKS","Silaines iela","1999.03.16","2021.06.30","","","Silaines iela, Limbaži, Limbažu nov."
"190033831","107","Silakroga iela","100185768","106","Y","252","EKS","Silakroga iela","2025.10.08","2025.10.20","","","Silakroga iela, Silakrogs, Ropažu pag., Ropažu nov."
"100447598","107","Silaputniņu iela","100003815","104","Y","252","EKS","Silaputniņu iela","2005.06.15","2022.06.30","","","Silaputniņu iela, Mārupe, Mārupes nov."
"100483745","107","Silarāju iela","100148088","106","Y","252","EKS","Silarāju iela","2015.11.26","2015.12.18","","","Silarāju iela, Skulte, Skultes pag., Limbažu nov."
"100437923","107","Silarāju iela","100184284","106","Y","252","EKS","Silarāju iela","2003.11.12","2021.06.30","","","Silarāju iela, Piņķi, Babītes pag., Mārupes nov."
"100386583","107","Silavas iela","100003583","104","Y","252","EKS","Silavas iela","1999.03.16","2025.07.07","","","Silavas iela, Saulkrasti, Saulkrastu nov."
"100359757","107","Silavas iela","100138028","106","Y","253","EKS","Silavas iela","1999.03.16","2021.06.30","","","Silavas iela, Izvalta, Izvaltas pag., Krāslavas nov."
"100489057","107","Silavas iela","100126503","106","Y","252","EKS","Silavas iela","2016.10.27","2018.06.12","","","Silavas iela, Litene, Litenes pag., Gulbenes nov."
"100442000","107","Silavu iela","100185897","106","Y","252","DEL","Silavu iela","2004.06.29","2021.06.30","2006.05.31","","Silavu iela, Spuņciems, Salas pag., Mārupes nov."
"100486398","107","Silavu iela","100185897","106","Y","252","EKS","Silavu iela","2017.01.25","2021.06.30","","","Silavu iela, Spuņciems, Salas pag., Mārupes nov."
"100479657","107","Silaziedu iela","100003487","104","Y","252","EKS","Silaziedu iela","2013.08.28","2021.06.30","","","Silaziedu iela, Ikšķile, Ogres nov."
"100433731","107","Silciema iela","100184091","106","Y","252","EKS","Silciema iela","2003.04.20","2009.06.30","","","Silciema iela, Egļupe, Allažu pag., Siguldas nov."
"100311491","107","Silciema iela","100003003","104","Y","252","EKS","Silciema iela","1999.03.16","2025.05.15","","","Silciema iela, Rīga"
"100487496","107","Silciema iela","100199255","106","Y","252","EKS","Silciema iela","2017.09.27","2021.04.26","","","Silciema iela, Silmala, Saulkrastu pag., Saulkrastu nov."
"100471265","107","Sildegu iela","100003815","104","Y","252","EKS","Sildegu iela","2009.12.22","2023.03.16","","","Sildegu iela, Mārupe, Mārupes nov."
"100318020","107","Silenes iela","100003011","104","Y","253","EKS","Silenes iela","1999.03.16","2021.06.30","","","Silenes iela, Daugavpils"
"100311506","107","Silenes iela","100003003","104","Y","252","EKS","Silenes iela","1999.03.16","2025.05.15","","","Silenes iela, Rīga"
"190033823","107","Silezera iela","100185768","106","Y","252","EKS","Silezera iela","2025.10.08","2025.10.20","","","Silezera iela, Silakrogs, Ropažu pag., Ropažu nov."
"100321486","107","Sileņu iela","100003028","104","Y","253","ERR","Sileņu iela","1999.03.16","2021.06.30","","","Sileņu iela, Jelgava"
"100318037","107","Silikātu iela","100003011","104","Y","252","EKS","Silikātu iela","1999.03.16","2021.06.30","","","Silikātu iela, Daugavpils"
